country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
LAO,,,,,,,,,,,51.8,,,,,44.2,,41.5,,,38.0,,,,,32.8,,,,,28.7,27.8,27.2,
LBN,,,,,,,,,,,36.4,,,,,35.6,,35.6,,,35.1,,,,,34.7,,,,,34.4,34.3,34.3,
LBR,,,,,,,,,,,17.5,,,,,14.6,,13.6,,,12.3,,,,,10.3,,,,,8.8,8.5,8.2,
LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,,,,,,,,,,,20.2,,,,,18.3,,17.6,,,16.8,,,,,15.4,,,,,14.3,14.1,13.8,
LCN,,,,,,,,,,,24.8765801471203,,,,,21.3264393156152,,20.0931526098571,,,18.4508816346581,,,,,16.0493986345715,,,,,14.1056510225422,13.7363576171567,13.4098250634915,
LDC,,,,,,,,,,,37.8248234253392,,,,,32.2741061737258,,30.1813507505212,,,27.3155220058336,,,,,23.3458244777626,,,,,20.0132267720284,19.475930683424,18.8900415559877,
LIC,,,,,,,,,,,27.0249286507434,,,,,22.8790282840607,,21.4618913209762,,,19.6016308350664,,,,,16.9887083859999,,,,,14.8243365104945,14.439854637888,14.0660354919145,
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,,,,,,,,,,,30.2,,,,,27.0,,25.9,,,24.3,,,,,22.1,,,,,20.2,19.8,19.5,
LMC,,,,,,,,,,,45.2279582883184,,,,,38.3090803220634,,35.723472013294,,,32.135681517421,,,,,27.1384089082263,,,,,23.0719076545563,22.3754596233206,21.6777443363208,
LMY,,,,,,,,,,,34.9354252484533,,,,,31.1216154684687,,29.7014848166834,,,27.7713577159303,,,,,24.9354082844717,,,,,22.5183236303661,22.0448057098284,21.6559463530431,
LSO,,,,,,,,,,,32.0,,,,,29.4,,28.5,,,27.5,,,,,26.0,,,,,25.0,24.7,24.3,
LTE,,,,,,,,,,,27.8773177076455,,,,,26.2531751231241,,25.6386325759272,,,24.8691089191529,,,,,23.5792465052489,,,,,22.4561006874795,22.1442221956759,22.0219191288143,
LTU,,,,,,,,,,,42.9,,,,,39.9,,38.7,,,37.1,,,,,34.6,,,,,32.3,31.8,31.4,
LUX,,,,,,,,,,,29.8,,,,,28.2,,27.5,,,26.4,,,,,24.9,,,,,23.5,23.3,23.0,
LVA,,,,,,,,,,,45.4,,,,,42.4,,41.3,,,39.6,,,,,37.1,,,,,34.7,34.3,33.9,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,,20.4,,,,,18.3,,17.5,,,16.5,,,,,14.9,,,,,13.5,13.3,13.0,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,,,,,,,,,,,25.2,,,,,26.1,,26.5,,,27.0,,,,,28.1,,,,,29.2,29.5,29.7,
MDG,,,,,,,,,,,53.1,,,,,43.9,,41.0,,,37.0,,,,,32.1,,,,,28.2,27.5,26.8,
MDV,,,,,,,,,,,42.4,,,,,37.6,,36.1,,,33.7,,,,,30.3,,,,,27.5,26.9,26.3,
MEA,,,,,,,,,,,27.9219744515727,,,,,25.0971907882966,,24.2063356505135,,,22.8523119282105,,,,,20.9840315226911,,,,,19.6080844328644,19.3785718940494,19.1056717026646,
MEX,,,,,,,,,,,22.7,,,,,20.6,,19.9,,,18.7,,,,,17.0,,,,,15.5,15.2,14.9,
MHL,,,,,,,,,,,27.5,,,,,27.8,,28.2,,,28.5,,,,,29.1,,,,,29.6,29.7,29.8,
MIC,,,,,,,,,,,35.2807128157453,,,,,31.4982025452348,,30.087031993072,,,28.1704618932416,,,,,25.3568400929666,,,,,22.9648785961145,22.4942941003321,22.1126865715162,
MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,,,,,,,,,,,16.7,,,,,14.0,,13.1,,,11.8,,,,,10.0,,,,,8.5,8.3,8.0,
MLT,,,,,,,,,,,33.0,,,,,30.7,,30.0,,,28.8,,,,,26.8,,,,,25.4,25.1,24.7,
MMR,,,,,,,,,,,65.4,,,,,60.5,,58.2,,,54.8,,,,,50.2,,,,,45.9,45.1,44.4,
